trans: x2をxとする	x = x2	trans: x2をxとする	_;x	3.0
trans: x2をx[に[代入|]する|とする]	x = x2	trans: x2をxに代入する	_;x	3.0
trans: x2をx[に設定する|に変更する|に[セット|指定]する|にする]	x = x2	trans: x2をxにする	_;x	3.0
trans: xはx2である	x = x2	trans: xはx2である	_;x	3.0
trans: xとx2[の値|]を[スワップする|入れ替える]	x, x2 = x2, x	trans: xとx2の値をスワップする	_;x	3.0
trans: xとx2の両方ともnとする	x = x2 = n	trans: xとx2の両方ともnとする	_;x	1
trans: xとx2の両方にnを代入する	x = x2 = n	trans: xとx2の両方にnを代入する	_;x	1
trans: xとx2の両方をn[に設定する|に変更する|に[セット|指定]する|にする]	x = x2 = n	trans: xとx2の両方をnに設定する	_;x	1
trans: xとx2をそれぞれnとn2とする	x, x2 = n, n2	trans: xとx2をそれぞれnとn2とする	_;x	1
trans: それぞれnとn2をxとx2[に[代入|]する|とする]	x, x2 = n, n2	trans: それぞれnとn2をxとx2とする	_;x	1
trans: xとx2をそれぞれnとn2[に設定する|に変更する|に[セット|指定]する|にする]	x, x2 = n, n2	trans: xとx2をそれぞれnとn2に設定する	_;x	1
trans: x, x2, x3をそれぞれn, n2, n3とする	x, x2, x3 = n, n2, n3	trans: x, x2, x3をそれぞれn, n2, n3とする	_;x	1
trans: x, x2, x3にそれぞれn, n2, n3を代入する	x, x2, x3 = n, n2, n3	trans: x, x2, x3にそれぞれn, n2, n3を代入する	_;x	1
trans: x, x2, x3をそれぞれn, n2, n3[に設定する|に変更する|に[セット|指定]する|にする]	x, x2, x3 = n, n2, n3	trans: x, x2, x3をそれぞれn, n2, n3にする	_;x	1
trans: xの絶対値	abs(x)	trans: xの絶対値	_	1.5
trans: xを[論理値|ブール値]に[変換|]する	bool(x)	trans: xを論理値にする	_	True
trans: xが真[か[|どうか][調べる||[確認|判定|テスト]する]|]	bool(x)	trans: xが真か調べる	_	True
trans: x, x2の複素数[|を[求める|計算する|算出する]]	complex(x, x2)	trans: x, x2の複素数	_	(1.5+3j)
trans: xとx2の商と余りをペアで得る	divmod(x, x2)	trans: xとx2の商と余りをペアで得る	_	(0.0, 1.5)
trans: xを浮動小数点数に[変換|]する	float(x)	trans: xを浮動小数点数に変換する	_	1.5
trans: xを整数に[変換|]する	int(x)	trans: xを整数に変換する	_	1
trans: xを印字できる文字列にする	ascii(x)	trans: xを印字できる文字列にする	_	1.5
trans: xの印字可能な文字列	ascii(x)	trans: xの印字可能な文字列	_	1.5
trans: xの絶対値[|を[計算する|求める]]	abs(x)	trans: xの絶対値	_	1.5
trans: xの複素数[|を[計算する|求める]]	complex(x)	trans: xの複素数	_	(1.5+0j)
trans: xとx2から[成る|なる]複素数[|を[計算する|求める]]	complex(x, x2)	trans: xとx2から成る複素数	_	(1.5+3j)
trans: xを実部[、|]x2を虚部とした複素数[|を[計算する|求める]]	complex(x, x2)	trans: xを実部、x2を虚部とした複素数	_	(1.5+3j)
trans: 商と余りを同時に[計算する|求める]	divmod(x, x2)	trans: 商と余りを同時に計算する	_	(0.0, 1.5)
trans: xのハッシュ値[|を[計算する|求める]]	hash(x)	trans: xのハッシュ値	_	1152921504606846977
trans: xのx2乗[|を[計算する|求める]]	pow(x, x2)	trans: xのx2乗を計算する	_	3.375
trans: xのx2乗のx3剰余[|を[計算する|求める]]	pow(x, x2, x3)	trans: xのx2乗のx3剰余	_	(TypeError('pow() 3rd argument not allowed unless all arguments are integers'), '_')
trans: xのx2乗してx3による余り[|を[計算する|求める]]	pow(x, x2, x3)	trans: xのx2乗してx3による余り	_	(TypeError('pow() 3rd argument not allowed unless all arguments are integers'), '_')
trans: xの小数点[以下]を[丸める|四捨五入する]	round(x)	trans: xの小数点以下を丸める	_	2
trans: xを[の|を]小数点[以下]第一位で[丸める|四捨五入する]	round(x, 1)	trans: xをの小数点以下第一位で丸める	_	1.5
trans: x[の|を]小数点[以下]第n位で[丸める|四捨五入する]	round(x, n)	trans: xの小数点以下第n位で丸める	_	1.5
trans: x[の|を]十の位で[丸める|四捨五入する]	round(x, -1)	trans: xの十の位で丸める	_	0.0
trans: x[の|を]百の位で[丸める|四捨五入する]	round(x, -2)	trans: xの百の位で丸める	_	0.0
trans: x[の|を]千の位で[丸める|四捨五入する]	round(x, -3)	trans: xの千の位で丸める	_	0.0
trans: x[、|]x2[、|]x3の[|中で|うち][最大値|[最も大きい値|最大の値|一番小さい値]][|を[求める|[計算する|求める]|算出する]]	max(x, x2, x3)	trans: x、x2、x3の最大値	_	3.0
trans: x[、|]x2[、|]x3の[|中で|うち][最小値|[最も小さい値|最小の値|一番小さい値]][|を[求める|[計算する|求める]|算出する]]	min(x, x2, x3)	trans: x、x2、x3の最小値	_	0.19
trans: xを[浮動小数点数型|浮動小数点数|実数]に[変換|]する	float(x)	trans: xを浮動小数点数型に変換する	_	1.5
trans: xを[整数型|整数]に[変換|]する	int(x)	trans: xを整数型に変換する	_	1
trans: xを[文字列型|文字列]に[変換|]する	str(x)	trans: xを文字列型に変換する	_	1.5
trans: nかつn2	n and n2	trans: nかつn2	_	3
trans: nまたはn2	n or n2	trans: nまたはn2	_	1
trans: nではない	not n	trans: nではない	_	False
trans: 真	True	trans: 真	_	True
trans: 偽	False	trans: 偽	_	False
trans: 未定値	None	trans: 未定値	_	None
trans: [コレクション|[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]|カウンタ|[名前付きタプル|[構造体|簡易クラス]]]を[使う|[使用する|用いる]]	import collections	trans: カウンタを使う	_;type(collections)	<class 'module'>
trans: {[空の|][両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque()	trans: 空の両端キューを新しく作る	_	deque([])
trans: {[[リスト|タプル|配列]|列|イテラブル|]iterableから|[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(iterable)	trans: 両端キューを新しくタプルiterableから用意する	_	deque([0, 1, 2, 4])
trans: [[リスト|タプル|配列]|列|イテラブル|]iterableを[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]に[変換|]する	collections.deque(iterable)	trans: リストiterableを両端キューに変換する	_	deque([0, 1, 2, 4])
trans: {[最大長|上限[|長||制限された長さ]]をnに[|制限]して|[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(maxlen=n)	trans: 最大長をnにしてキューを新しく作る	_	deque([], maxlen=1)
trans: {[最大長|上限[|長||制限された長さ]]nの[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[新しく|新たに|]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(maxlen=n)	trans: 新しく最大長nの双方向キューを作る	_	deque([], maxlen=1)
trans: {[最大長|上限[|長||制限された長さ]]をnに[|制限]して|[[リスト|タプル|配列]|列|イテラブル|]iterableから|[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[|[新しく|新たに|]]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(iterable, maxlen=n)	trans: 上限をnにしてリストiterableから両端キューを作る	_	deque([4], maxlen=1)
trans: {[最大長|上限[|長||制限された長さ]]nの[両端キュー|[双方向キュー|デック]|[キュー|スタック]|deque[|オブジェクト]]を|[[リスト|タプル|配列]|列|イテラブル|]iterableから|[|[新しく|新たに|]]}[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(iterable, maxlen=n)	trans: 最大長nの両端キューを配列iterableから作る	_	deque([4], maxlen=1)
trans: [[リスト|タプル|配列]|列|イテラブル|]iterableの[テイルフィルタ|tailフィルタ]を[[作る|作成する]|[|新規]生成する|[用意|準備]する]	collections.deque(iterable, maxlen=n)	trans: リストiterableのテイルフィルタを作る	_	deque([4], maxlen=1)
